"Date","","Followers","","Following","","Uploads",""
"2020-11-17","Tue","54,907,227","+156,424","843","-","571","+4"
"2020-11-13","Fri","54,750,803","+182,107","843","-","567","+3"
"2020-11-09","Mon","54,568,696","+156,698","843","-3","564","+12"
"2020-11-05","Thu","54,411,998","+170,254","846","+2","552","+5"
"2020-11-01","Sun","54,241,744","+161,371","844","+7","547","+9"
"2020-10-28","Wed","54,080,373","+156,593","837","+4","538","+6"
"2020-10-23","Fri","53,923,780","+171,820","833","+3","532","+3"
"2020-10-19","Mon","53,751,960","+148,593","830","+1","529","+3"
"2020-10-15","Thu","53,603,367","+184,714","829","+2","526","+4"
"2020-10-11","Sun","53,418,653","+186,523","827","-4","522","+5"
"2020-10-07","Wed","53,232,130","+1,040,097","831","+2","517","+26"
"2020-09-13","Sun","52,192,033","+809,412","829","+13","491","+15"
"2020-08-28","Fri","51,382,621","+467,838","816","+4","476","+16"
"2020-08-20","Thu","50,914,783","+625,535","812","-39","460","+9"
"2020-08-12","Wed","50,289,248","-","851","-","451","-"
"Total Summary","","+4,617,979","","","","+120",""